feature,coefficient,abs_coefficient
"cat__display_name_200, Exchange Street, Downtown, Providence, Providence County, Rhode Island, 02903, United States",3.692054104375014,3.692054104375014
"cat__display_name_20, Summer Street, Pawtucket, Providence County, Rhode Island, 02860, United States",-3.6547099240446026,3.6547099240446026
"cat__display_name_135, Old River Road, Lincoln, Providence County, Rhode Island, 02865, United States",-3.652340608106153,3.652340608106153
"cat__display_name_30, Redwood Drive, North Providence, Providence County, Rhode Island, 02911, United States",-3.648330170140137,3.648330170140137
"cat__display_name_2, Collins Court, Barrington, Bristol County, Rhode Island, 02806, United States",-3.6242712823039507,3.6242712823039507
"cat__display_name_US Rubber Lofts, 12, Eagle Street, Olneyville, Providence, Providence County, Rhode Island, 02908, United States",-3.6152937193499946,3.6152937193499946
"cat__display_name_225, 227, Maple Street, Hamlet, Woonsocket, Providence County, Rhode Island, 02895, United States",-3.5533920248747566,3.5533920248747566
"cat__display_name_1, Tall Pines Drive, Barrington, Bristol County, Rhode Island, 02806, United States",-3.546510055528936,3.546510055528936
"cat__display_name_Orchard Meadows Drive, Smithfield, Providence County, Rhode Island, 02917, United States",-3.503994067905841,3.503994067905841
"cat__display_name_7, Davis Court, Newport, Newport County, Rhode Island, 02840, United States",-3.481974401498079,3.481974401498079
"cat__display_name_420, Main Street, Pawtucket, Providence County, Rhode Island, 02860, United States",-3.4629625527186927,3.4629625527186927
"cat__display_name_12, Montague Street, Blackstone, Providence, Providence County, Rhode Island, 02906, United States",3.423170457013851,3.423170457013851
"cat__display_name_West Warwick Public Library, 1043, Main Street, West Warwick, Kent County, Rhode Island, 02893, United States",-3.327927837504789,3.327927837504789
"cat__display_name_Angell at Prescott Library, 216, Hope Street, College Hill, Providence, Providence County, Rhode Island, 02906, United States",-3.282965157622481,3.282965157622481
"cat__display_name_27, Homewood Avenue, Fruit Hill, North Providence, Providence County, Rhode Island, 02911, United States",-3.27429339147639,3.27429339147639
"cat__display_name_310, Bourne Avenue, Rumford, East Providence, Providence County, Rhode Island, 02916, United States",-3.2279734632427872,3.2279734632427872
"cat__display_name_43, Betsey Williams Drive, Edgewood, Cranston, Providence County, Rhode Island, 02905, United States",-3.198138272824496,3.198138272824496
cat__driver_Kyle Dimascio,-3.195945022982072,3.195945022982072
"cat__display_name_North Providence High School, 1828, Mineral Spring Avenue, North Providence, Providence County, Rhode Island, 02904, United States",3.1711129989779505,3.1711129989779505
"cat__display_name_Saint Michael’s Ukrainian Orthodox Church, 74, Harris Avenue, Woonsocket, Providence County, Rhode Island, 02895, United States",-3.1225437917561414,3.1225437917561414
"cat__display_name_150, South Main Street, College Hill, Providence, Providence County, Rhode Island, 02903, United States",-3.0818974747755887,3.0818974747755887
"cat__display_name_292, West Shore Road, Coles, Warwick, Kent County, Rhode Island, 02889, United States",-3.022437545682935,3.022437545682935
"cat__display_name_AAOG, 1052, Newport Avenue, South Attleboro, Attleboro, Bristol County, Massachusetts, 02703, United States",-2.9902456658675134,2.9902456658675134
"cat__display_name_Oak Lawn Branch Cranston Public Library, 230, Wilbur Avenue, Cranston, Providence County, Rhode Island, 02921, United States",-2.967730452799942,2.967730452799942
cat__day_of_week_4,-2.9535935730327574,2.9535935730327574
"cat__display_name_575, Centerville Road, Warwick, Kent County, Rhode Island, 02886, United States",2.9527072418933393,2.9527072418933393
"cat__display_name_16, Puritan Avenue, Barrington, Bristol County, Rhode Island, 02806, United States",-2.93472164547238,2.93472164547238
"cat__display_name_Women & Infants Hospital of Rhode Island, 101, Dudley Street, Providence, Providence County, Rhode Island, 02905, United States",2.930735303961694,2.930735303961694
"cat__display_name_80, Halsey Street, Newport, Newport County, Rhode Island, 02840, United States",-2.9018012179005996,2.9018012179005996
"cat__display_name_1688, Flat River Road, Coventry, Kent County, Rhode Island, 02816, United States",2.8704025187394757,2.8704025187394757
"cat__display_name_1291, Hartford Avenue, Johnston, Providence County, Rhode Island, 02919, United States",2.860860007012565,2.860860007012565
"cat__display_name_Cranston Police Department, 5, Garfield Avenue, Cranston, Providence County, Rhode Island, 02920, United States",2.8411286693926803,2.8411286693926803
"cat__display_name_Nipmuc Trail, North Providence, Providence County, Rhode Island, 02904, United States",-2.7815131829747584,2.7815131829747584
"cat__display_name_10, Catherine Street, Bristol, Bristol County, Rhode Island, 02809, United States",-2.7738710373716904,2.7738710373716904
"cat__display_name_122, Amy Hart Path, Adamsville, Little Compton, Newport County, Rhode Island, 02837, United States",2.7662199463341213,2.7662199463341213
"cat__display_name_Tockwotton, 500, Waterfront Drive, East Providence, Providence County, Rhode Island, 02914, United States",-2.7547905902742538,2.7547905902742538
cat__driver_Faybion,2.730742938890175,2.730742938890175
"cat__display_name_191, Coggeshall Avenue, Newport, Newport County, Rhode Island, 02840, United States",-2.7267637267230853,2.7267637267230853
cat__driver_Domingos,2.6898754569670973,2.6898754569670973
"cat__display_name_4080, South County Trail, Columbia Heights, Charlestown, South County, Rhode Island, 02813, United States",-2.686112472902336,2.686112472902336
"cat__display_name_21, Alexander Drive, Narragansett, South County, Rhode Island, 02882, United States",2.6553551331025087,2.6553551331025087
"cat__display_name_VFW Post 237, 850, Hope Street, Bristol, Bristol County, Rhode Island, 02809, United States",2.6229935826353468,2.6229935826353468
cat__driver_Michael Colon,-2.602549738018546,2.602549738018546
"cat__display_name_The Wheeler School, 216, Hope Street, College Hill, Providence, Providence County, Rhode Island, 02906, United States",-2.593480167472868,2.593480167472868
"cat__display_name_90, Cavalier Drive, East Greenwich, Kent County, Rhode Island, 02818, United States",-2.5869764518854796,2.5869764518854796
"cat__display_name_1, King Street, Newport, Newport County, Rhode Island, 02840, United States",-2.585677202109159,2.585677202109159
"cat__display_name_141, Gano Street, Fox Point, Providence, Providence County, Rhode Island, 02906, United States",-2.582350470768479,2.582350470768479
"cat__display_name_69, Westcott Avenue, Manton, Providence, Providence County, Rhode Island, 02909, United States",-2.573393421177499,2.573393421177499
"cat__display_name_71, Sheffield Road, Cranston, Providence County, Rhode Island, 02920, United States",-2.544856604742387,2.544856604742387
"cat__display_name_163, Rose Hill Road, South Kingstown, South County, Rhode Island, 02879, United States",2.5364514332990247,2.5364514332990247
"cat__display_name_155, Plan Way, Warwick, Kent County, Rhode Island, 02886, United States",-2.4909312750630415,2.4909312750630415
"cat__display_name_125, Scituate Avenue, Cranston, Providence County, Rhode Island, 02921, United States",2.4865471472978466,2.4865471472978466
"cat__display_name_68, Bates Trail, West Greenwich, Kent County, Rhode Island, 02817, United States",-2.46627927735161,2.46627927735161
cat__driver_Antoine Jarman,2.444164997610494,2.444164997610494
